FIPS,State,County,PCT_DIABETES_ADULTS09,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS09,PCT_OBESE_ADULTS10,PCT_OBESE_ADULTS13,PCT_OBESE_CHILD08,PCT_OBESE_CHILD11,PCH_OBESE_CHILD_08_11,PCT_HSPA09,RECFAC07,RECFAC12,PCH_RECFAC_07_12,RECFACPTH07,RECFACPTH12,PCH_RECFACPTH_07_12,NATAMEN
01069,AL,Houston,12.4,13,33,34.9,32.4,18.9,15.2,-3.7,19.4,5,9,80,0.0513389190077214,0.0870389354171099,69.5379199628633,3
01071,AL,Jackson,13.6,13.4,30.5,30,32.4,11,13.9,2.9,19.4,1,1,0,0.0189408288506705,0.0188611629793093,-0.4206039344386,4
01073,AL,Jefferson,12.4,11.7,32,32.2,32.4,12,12.3,0.300000000000001,19.4,66,66,0,0.0997767118131092,0.0999986363822311,0.222421209407745,4
01075,AL,Lamar,12.9,13.8,32.2,31.3,32.4,16.5,12.9,-3.6,19.4,0,0,0,0,0,0,3
01077,AL,Lauderdale,13.7,12.5,32.4,32.2,32.4,15.1,17.2,2.1,19.4,10,9,-10,0.112966268272294,0.0972531391152125,-13.9095761924315,4
01079,AL,Lawrence,13.6,14.1,38.1,37.7,32.4,14,15.2,1.2,19.4,1,1,0,0.0292817194225645,0.0295525740291979,0.924995567113893,4
01081,AL,Lee,10.2,9.8,30,32,32.4,9.2,11.3,2.1,19.4,6,7,16.6666666666667,0.0458747161501938,0.0475359405664926,3.62122004386889,3
01083,AL,Limestone,10.4,10.7,31.4,33.8,32.4,23.1,19.8,-3.3,19.4,3,7,133.333333333333,0.040590455830819,0.0798594473726242,96.7443965287761,3
01085,AL,Lowndes,18.5,19.3,44.6,43.8,32.4,10.9,7.2,-3.7,19.4,1,1,0,0.0789639924194567,0.0921064750851985,16.6436400478954,3
01087,AL,Macon,15.6,16.6,41.4,39.2,32.4,17.3,14.1,-3.2,19.4,0,0,0,0,0,0,3
01089,AL,Madison,11.8,11.7,31.4,30,32.4,14.1,14.4,0.300000000000001,19.4,43,46,6.97674418604651,0.137031702124947,0.134079514981928,-2.15438259704836,3
01091,AL,Marengo,16.9,17.4,40.2,41.6,32.4,9.7,17,7.3,19.4,2,2,0,0.0940512579355749,0.0980344100779374,4.2350865153669,3
01093,AL,Marion,12.3,12.9,32.7,33,32.4,28.1,20.7,-7.4,19.4,0,1,,0,0.0329739176311538,,3
01095,AL,Marshall,12,13.6,29.1,31.5,32.4,17.3,20.7,3.4,19.4,5,6,20,0.0568375582584972,0.0633071663712332,11.3826285135477,4
01097,AL,Mobile,12.3,12.1,31.7,33.9,32.4,10.9,10.1,-0.800000000000001,19.4,32,28,-12.5,0.078966720462745,0.0676433071779212,-14.3394751845696,4
01099,AL,Monroe,13.8,13.9,35.5,35.9,32.4,6.9,11.1,4.2,19.4,1,0,-100,0.0439386616283668,0,-100,4
01101,AL,Montgomery,13.9,14.3,34.1,35.3,32.4,12,12.5,0.5,19.4,13,18,38.4615384615385,0.0576118556335531,0.0782102029554767,35.7536605884415,3
01103,AL,Morgan,11.2,11.9,32.9,28.5,32.4,20.3,16.3,-4,19.4,5,6,20,0.0434223781568069,0.0498359566427177,14.7702147099132,4
01105,AL,Perry,19.8,18.2,40.2,38.9,32.4,5.4,11.6,6.2,19.4,0,0,0,0,0,0,4
01107,AL,Pickens,16,15.7,36.4,38.5,32.4,10.2,10,-0.199999999999999,19.4,2,2,0,0.10254832589858,0.10306622004638,0.50502447822725,4
01109,AL,Pike,15.3,14.6,36.9,36,32.4,14.4,11.3,-3.1,19.4,2,3,50,0.0662558802093686,0.0904104635043096,36.4565125670544,3
01111,AL,Randolph,14.5,14.8,32.1,34.2,32.4,13.6,12.9,-0.699999999999999,19.4,1,0,-100,0.0446647907454554,0,-100,4
01113,AL,Russell,13.4,13.2,39.3,36.5,32.4,11.2,11.9,0.700000000000001,19.4,3,3,0,0.0597288311067753,0.0518851608439986,-13.1321342096161,3
01115,AL,St. Clair,13.3,13.5,35.6,32.9,32.4,9.2,13.1,3.9,19.4,4,3,-25,0.0509456791695854,0.0351959829651443,-30.9146849372925,4
01117,AL,Shelby,8.2,8.9,28,29.6,32.4,17.2,18.4,1.2,19.4,26,22,-15.3846153846154,0.141706362615681,0.109484873669386,-22.7382090341865,4
01119,AL,Sumter,18.5,16,42.1,40.1,32.4,15.2,12.6,-2.6,19.4,1,1,0,0.0753636295123973,0.0744768004766515,-1.1767334475311,3
01121,AL,Talladega,14.5,14.1,36.8,38.4,32.4,6.9,12.7,5.8,19.4,2,0,-100,0.0249420098271519,0,-100,4
01123,AL,Tallapoosa,14,14,36.9,35.1,32.4,15,14.2,-0.800000000000001,19.4,3,2,-33.3333333333333,0.0735348187366718,0.0485814224640498,-33.9341235911388,4
01125,AL,Tuscaloosa,11.6,10.5,34.6,33.2,32.4,10.8,12.5,1.7,19.4,18,14,-22.2222222222222,0.100559782790869,0.0704948740155894,-29.897547449764,4
01127,AL,Walker,14.8,15.1,34.8,36,32.4,16.5,15.5,-1,19.4,4,5,25,0.0582623261233705,0.0755047492487277,29.5944639917851,4
01129,AL,Washington,12.9,13.4,36.2,35.9,32.4,12.7,12.7,0,19.4,1,0,-100,0.0583975706610605,0,-100,3
01131,AL,Wilcox,17.5,18.1,43.4,41.6,32.4,15.6,19.7,4.1,19.4,0,0,0,0,0,0,4
01133,AL,Winston,11.8,12.1,36,35.7,32.4,9.1,13.8,4.7,19.4,0,0,0,0,0,0,4
02013,AK,Aleutians East,5.9,7.7,31.4,32.3,28.4,,,,20.2,0,0,0,0,0,0,
02016,AK,Aleutians West,5.9,6.7,27.9,30,28.4,,,,20.2,0,0,0,0,0,0,
02020,AK,Anchorage,6.6,7,25.7,25.7,28.4,,,,20.2,34,36,5.88235294117647,0.122080831873151,0.120558588124979,-1.24691462600244,
02050,AK,Bethel,6,6.7,30.1,31.5,28.4,,,,20.2,1,0,-100,0.0584795321637427,0,-100,
02060,AK,Bristol Bay,7.3,8.3,34.9,31.1,28.4,,,,20.2,0,0,0,0,0,0,
02068,AK,Denali,6,6.8,28.4,24.7,28.4,,,,20.2,0,0,0,0,0,0,
02070,AK,Dillingham,8.2,8.2,34.2,31.8,28.4,,,,20.2,0,0,0,0,0,0,
02090,AK,Fairbanks North Star,6,6.1,27.5,29.1,28.4,,,,20.2,7,8,14.2857142857143,0.0714635739954264,0.0797829902664752,11.6414780368825,
02100,AK,Haines,7.9,8.3,31.9,29.6,28.4,,,,20.2,0,0,0,0,0,0,
02110,AK,Juneau,5.5,6.3,26.2,26,28.4,,,,20.2,6,7,16.6666666666667,0.196437925615506,0.215014129499939,9.45652619076874,
02122,AK,Kenai Peninsula,6.5,6.7,28.9,27.5,28.4,,,,20.2,8,10,25,0.150268605131673,0.175746924428823,16.9551845342707,
02130,AK,Ketchikan Gateway,7.3,7.2,32.4,29.2,28.4,,,,20.2,3,4,33.3333333333333,0.228588844864371,0.290296828507148,26.9951859109272,
02150,AK,Kodiak Island,5.9,6.1,29.8,30.1,28.4,,,,20.2,2,0,-100,0.152975370965275,0,-100,
02164,AK,Lake and Peninsula,7.5,8.4,33.7,31.5,28.4,,,,20.2,0,0,0,0,0,0,
02170,AK,Matanuska-Susitna,5.2,6.8,29.6,29.8,28.4,,,,20.2,9,7,-22.2222222222222,0.109217999126256,0.0745275485759915,-31.7625765238222,
02180,AK,Nome,7,7.8,35.7,35.6,28.4,,,,20.2,0,0,0,0,0,0,
02185,AK,North Slope,7.2,7.6,39.4,35.6,28.4,,,,20.2,0,1,,0,0.103702167375298,,
02188,AK,Northwest Arctic,6,7.2,29.7,29.7,28.4,,,,20.2,0,0,0,0,0,0,
02220,AK,Sitka,7,7.5,29.7,28.2,28.4,,,,20.2,1,1,0,0.114573785517874,0.11054609772275,-3.51536590758346,
02240,AK,Southeast Fairbanks,6,6.7,31,31.7,28.4,,,,20.2,0,0,0,0,0,0,
02261,AK,Valdez-Cordova,6.9,6.7,29.1,28.3,28.4,,,,20.2,2,2,0,0.21137180300148,0.205824843058557,-2.62426674899661,
02270,AK,Wade Hampton,6.1,6.7,29.7,27.6,28.4,,,,20.2,0,0,0,0,0,0,
02282,AK,Yakutat,7.7,8.6,30.5,31.6,28.4,,,,20.2,0,0,0,0,0,0,
02290,AK,Yukon-Koyukuk,7.5,8.2,32.6,29,28.4,,,,20.2,1,0,-100,0.172087420409568,0,-100,
04001,AZ,Apache,13.9,14.9,33.3,31.8,26.8,10.2,11,0.800000000000001,25.7,3,0,-100,0.0433037905251306,0,-100,5
04003,AZ,Cochise,8.8,9,23.7,24.7,26.8,9,7.2,-1.8,25.7,11,10,-9.09090909090909,0.0861151124193649,0.0757071043546726,-12.0861574377412,7
04005,AZ,Coconino,7.1,7.3,25.3,23.3,26.8,8.3,9.3,1,25.7,12,10,-16.6666666666667,0.0941538316686413,0.0735234650138592,-21.911340504322,6
04007,AZ,Gila,11.5,11.2,25.8,26.3,26.8,12.9,10.6,-2.3,25.7,4,4,0,0.0765828722406234,0.0752671985548698,-1.71797380701488,7
04009,AZ,Graham,9.5,10.8,32.5,33.9,26.8,11.4,13.4,2,25.7,3,2,-33.3333333333333,0.0863657300783049,0.053453068206115,-38.1084740930796,6
04011,AZ,Greenlee,9.4,9.3,35.8,34.2,26.8,15.5,8.6,-6.9,25.7,0,0,0,0,0,0,6
04012,AZ,La Paz,12.5,13.4,30,31.2,26.8,,,,25.7,0,0,0,0,0,0,5
04013,AZ,Maricopa,7.5,8,23.7,22.8,26.8,14.8,14.9,0.0999999999999996,25.7,317,265,-16.403785488959,0.0818494991688532,0.0672218770935493,-17.871364179184,6
04015,AZ,Mohave,12.3,12,27.1,27.1,26.8,12,11.7,-0.300000000000001,25.7,15,14,-6.66666666666667,0.0765884443355187,0.0688522332713663,-10.1010160622424,6
04017,AZ,Navajo,13.5,11.6,31.5,31.7,26.8,9.8,11,1.2,25.7,7,2,-71.4285714285714,0.0630636312038847,0.0186751825499094,-70.3867630306086,4
04019,AZ,Pima,7.8,7.9,25.6,24.1,26.8,15.2,15.3,0.100000000000001,25.7,108,104,-3.7037037037037,0.108369213911798,0.104797086640991,-3.29625651221712,5
04021,AZ,Pinal,9.5,10.4,29.7,31.4,26.8,12.4,13.6,1.2,25.7,16,10,-37.5,0.0528693169614682,0.0258154453809714,-51.1712144876279,5
04023,AZ,Santa Cruz,7.1,6.4,21.8,20.1,26.8,15.8,16.7,0.899999999999999,25.7,3,1,-66.6666666666666,0.0702707767263187,0.0211403082256939,-69.9159320409558,6
04025,AZ,Yavapai,8.8,9.3,21.5,23.4,26.8,10.4,10.2,-0.200000000000001,25.7,20,24,20,0.0943378426822136,0.112868409543024,19.6427714837963,6
04027,AZ,Yuma,10.2,9.7,29.4,31.1,26.8,18.3,16.4,-1.9,25.7,10,10,0,0.0528594309153668,0.0499945006049334,-5.41990381058082,5
05001,AR,Arkansas,13.1,14.4,36.1,35.4,34.6,14.9,12,-2.9,24.3,1,0,-100,0.0517732332384157,0,-100,3
05003,AR,Ashley,11.9,11.9,39.2,38,34.6,12.6,13.5,0.9,24.3,0,0,0,0,0,0,3
05005,AR,Baxter,10.9,10.8,28.2,28.5,34.6,10.2,10,-0.199999999999999,24.3,6,4,-33.3333333333333,0.143386306607719,0.0974468914441629,-32.0389137919834,5
05007,AR,Benton,7.3,8.7,28,27.6,34.6,15.4,14.9,-0.5,24.3,23,21,-8.69565217391304,0.10902385726407,0.0904127990080424,-17.0706290559406,5
05009,AR,Boone,11.7,11.8,29.1,27.3,34.6,12.8,14.1,1.3,24.3,3,1,-66.6666666666666,0.0818486890568303,0.0267902590618051,-67.2685544869219,4
05011,AR,Bradley,13.7,14,31.8,34,34.6,19.8,24.1,4.3,24.3,1,1,0,0.0835840855901036,0.0877423883478109,4.97499341932088,3
05013,AR,Calhoun,12.7,12,34.1,34.2,34.6,15,11.4,-3.6,24.3,0,0,0,0,0,0,3
05015,AR,Carroll,10.7,11.4,26.3,28.7,34.6,15,19.1,4.1,24.3,1,2,100,0.0366595791480314,0.0724375226367258,97.5950742484607,4
05017,AR,Chicot,15,15.2,38.1,36.8,34.6,13.2,16.6,3.4,24.3,2,0,-100,0.16249593760156,0,-100,3
05019,AR,Clark,11.1,11.5,33.8,32.6,34.6,13.3,17.3,4,24.3,6,2,-66.6666666666666,0.253335585205202,0.0871991628880363,-65.5795837693291,4
05021,AR,Clay,12.8,12.7,32.2,32,34.6,14,15.3,1.3,24.3,1,1,0,0.062235499128703,0.0637592450905381,2.44835501147667,2
05023,AR,Cleburne,13.1,12.9,26.6,28.8,34.6,10.9,18.2,7.3,24.3,1,1,0,0.0395538327663951,0.0387476751394916,-2.03812771233726,4
05025,AR,Cleveland,12.1,13,32.7,34.9,34.6,13,16.1,3.1,24.3,0,0,0,0,0,0,3
05027,AR,Columbia,13.1,12.7,31.9,33.5,34.6,13.5,12.5,-1,24.3,3,4,33.3333333333333,0.123416159289123,0.163445429657173,32.4343834702189,3
05029,AR,Conway,11.7,12.9,33,35.7,34.6,16.7,16.4,-0.300000000000001,24.3,3,2,-33.3333333333333,0.145081729374214,0.0939540564663879,-35.240600679601,3
05031,AR,Craighead,10.9,11.5,33.1,34.1,34.6,13.4,15.7,2.3,24.3,7,8,14.2857142857143,0.0766006806517624,0.0802125632927257,4.71520959113077,2
05033,AR,Crawford,8.9,10.2,33.3,35.9,34.6,13.1,11.8,-1.3,24.3,4,4,0,0.0677564156856102,0.0645723694830982,-4.69925418913246,4
05035,AR,Crittenden,13.5,14,37.5,38.1,34.6,13.9,13.5,-0.4,24.3,3,2,-33.3333333333333,0.057556165224565,0.0399832070530377,-30.5318432924838,3
05037,AR,Cross,11.9,13,34.3,36.5,34.6,10.1,10.7,0.6,24.3,2,2,0,0.10737102056155,0.11310298026353,5.3384606684386,3
05039,AR,Dallas,12.7,13.6,34.1,33,34.6,14.7,15.5,0.800000000000001,24.3,0,0,0,0,0,0,3
05041,AR,Desha,13.9,13.7,37.8,36.9,34.6,14.7,9,-5.7,24.3,1,0,-100,0.0729128691213999,0,-100,3
05043,AR,Drew,11.7,12.6,35.8,32.3,34.6,11.2,11.6,0.4,24.3,1,0,-100,0.0534959610549404,0,-100,3
05045,AR,Faulkner,10.4,10.4,32.5,29.4,34.6,12.9,13.7,0.799999999999999,24.3,11,7,-36.3636363636364,0.105104244300483,0.0589702116188166,-43.8935962945264,3
05047,AR,Franklin,11.6,12.1,34.1,33.6,34.6,17.7,5.6,-12.1,24.3,1,0,-100,0.0552547242789259,0,-100,4
05049,AR,Fulton,11.8,12.2,30.7,31.1,34.6,8.8,13.7,4.9,24.3,0,0,0,0,0,0,4
05051,AR,Garland,10.7,11.1,27.7,28.3,34.6,15.9,16.1,0.200000000000001,24.3,9,6,-33.3333333333333,0.093265215183577,0.0619175876907836,-33.6112745047453,4
05053,AR,Grant,10.1,11,35.8,36.1,34.6,10,9.7,-0.300000000000001,24.3,1,0,-100,0.0571232720210214,0,-100,3
05055,AR,Greene,10.8,14.9,34.1,37.8,34.6,14.5,16.3,1.8,24.3,1,4,300,0.0248126643839015,0.0926719644139657,273.486550981164,3
05057,AR,Hempstead,13.4,14.3,36.4,36.3,34.6,16,16,0,24.3,1,1,0,0.0430811649146993,0.0446967326688419,3.75005587091584,3
05059,AR,Hot Spring,11.4,11.5,34.5,33.4,34.6,14,11.2,-2.8,24.3,2,1,-50,0.0627766094353244,0.0299454991914715,-52.2983170629454,4
05061,AR,Howard,12.8,12.7,34.6,35.7,34.6,11.1,13.7,2.6,24.3,2,1,-50,0.141783638168155,0.0728066982162359,-48.6494357480888,4
05063,AR,Independence,11.5,11.7,29.8,29.8,34.6,11.9,14.3,2.4,24.3,1,2,100,0.0289720709236296,0.0540175557056043,86.4469952734639,4
05065,AR,Izard,10.3,11,29,30.3,34.6,11.9,8.9,-3,24.3,2,0,-100,0.153480162688972,0,-100,4
05067,AR,Jackson,11.8,13.8,32,37.1,34.6,12.3,15.3,3,24.3,1,0,-100,0.0586888901930864,0,-100,3
05069,AR,Jefferson,13.9,15.2,38.3,40,34.6,8.3,12.6,4.3,24.3,4,1,-75,0.0503695868434639,0.0133827603281453,-73.430871351525,3
05071,AR,Johnson,10.6,11.9,35.4,34.9,34.6,17.8,20,2.2,24.3,1,1,0,0.040358382436032,0.0386085479325123,-4.33573993282112,5
05073,AR,Lafayette,12.6,13,30.6,30.9,34.6,20,15.5,-4.5,24.3,0,0,0,0,0,0,3
05075,AR,Lawrence,12.5,12.4,33.8,38,34.6,14.7,14,-0.699999999999999,24.3,0,0,0,0,0,0,3
05077,AR,Lee,12.6,13.2,36.6,34.6,34.6,14.1,14.8,0.700000000000001,24.3,0,0,0,0,0,0,3
05079,AR,Lincoln,10.5,10.9,36.2,32.9,34.6,11.7,12.7,1,24.3,0,1,,0,0.070916956244238,,3
05081,AR,Little River,12.1,12.3,32.8,32.9,34.6,15.7,18.7,3,24.3,0,0,0,0,0,0,3
05083,AR,Logan,11.8,12.7,28.8,33.2,34.6,14.9,12.5,-2.4,24.3,0,1,,0,0.0454896965837238,,4
05085,AR,Lonoke,11.2,10.8,34.1,31.2,34.6,10.2,11,0.800000000000001,24.3,2,3,50,0.0314559380947138,0.0429559415226449,36.5590858975644,3
02105,AK,Hoonah-Angoon,,,,,,,,,,,,,,,,
02195,AK,Petersburg,,,,,,,,,,,,,,,,
05087,AR,Madison,11.7,13.5,30.4,32.8,34.6,13.4,15.3,1.9,24.3,0,0,0,0,0,0,3
05089,AR,Marion,13.6,14.2,32.1,32.6,34.6,10.1,10.7,0.6,24.3,0,0,0,0,0,0,5
05091,AR,Miller,13.3,12.1,37.8,33.6,34.6,18.6,9.8,-8.8,24.3,1,2,100,0.023309479965502,0.0458358161067058,96.6402346793785,3
05093,AR,Mississippi,12.9,13.5,38.8,39.1,34.6,14.3,13.2,-1.1,24.3,2,2,0,0.0429092469427162,0.0438962293139019,2.30016241604848,3
05095,AR,Monroe,13.7,14.1,36.1,35.1,34.6,13.5,14.9,1.4,24.3,1,0,-100,0.11671335200747,0,-100,3
05097,AR,Montgomery,11.6,11.7,28,29.6,34.6,11.1,14.1,3,24.3,0,0,0,0,0,0,4
05099,AR,Nevada,13.8,14.5,35.2,34.4,34.6,14.4,14.5,0.0999999999999996,24.3,0,0,0,0,0,0,3
05101,AR,Newton,13.4,12.6,35.2,36.3,34.6,13,9,-4,24.3,0,0,0,0,0,0,3
05103,AR,Ouachita,13.8,13.1,37.1,39.8,34.6,12.3,12.3,0,24.3,3,2,-33.3333333333333,0.115282634592476,0.0787525594581824,-31.6874048406573,3
05105,AR,Perry,11.5,12.5,32.4,33.8,34.6,10.7,12.4,1.7,24.3,0,0,0,0,0,0,4
05107,AR,Phillips,15.2,15.9,39.3,38,34.6,10.3,10.9,0.6,24.3,1,2,100,0.0456308464522017,0.0962278675904542,110.88337182448,3
05109,AR,Pike,11.5,12.3,30.5,33.6,34.6,13.8,13.7,-0.100000000000001,24.3,0,0,0,0,0,0,4
05111,AR,Poinsett,11.7,12.2,36.5,35.7,34.6,12.6,14.9,2.3,24.3,1,0,-100,0.0401913106386399,0,-100,2
05113,AR,Polk,11.3,11.4,37.6,33.1,34.6,10.2,10.7,0.5,24.3,2,1,-50,0.0993196603267616,0.0488495921059059,-50.8157881881686,4
05115,AR,Pope,9.7,11.9,31.9,35.2,34.6,16.1,13.1,-3,24.3,3,3,0,0.0506808122444842,0.0477973392814466,-5.68947661913487,4
05117,AR,Prairie,11.4,12.4,31.9,32.8,34.6,9.9,14.2,4.3,24.3,1,0,-100,0.113455865668255,0,-100,3
05119,AR,Pulaski,10.5,11.1,32.1,33.1,34.6,11.5,13.4,1.9,24.3,38,45,18.4210526315789,0.10133549515723,0.115695212532105,14.1704714153665,4
05121,AR,Randolph,13.1,12.3,35,34.2,34.6,13.5,12.6,-0.9,24.3,2,2,0,0.110864745011086,0.11154489682097,0.61349693251534,3
05123,AR,St. Francis,12.9,12.6,37.9,38.6,34.6,8.1,13.3,5.2,24.3,3,0,-100,0.111990443482156,0,-100,3
05125,AR,Saline,10.6,11.4,31.2,31.5,34.6,13.7,13.7,0,24.3,10,10,0,0.104831692717342,0.0894094505789262,-14.7114309982565,4
05127,AR,Scott,10.8,12.5,31.7,29.4,34.6,15.5,17.6,2.1,24.3,0,0,0,0,0,0,4
05129,AR,Searcy,12.6,12.3,30.7,30.2,34.6,17.1,7.1,-10,24.3,0,0,0,0,0,0,4
05131,AR,Sebastian,10.4,11.4,30,29.8,34.6,19.1,17,-2.1,24.3,12,13,8.33333333333333,0.0985699148191652,0.102117765349086,3.59932392802531,4
05133,AR,Sevier,12.4,13.8,32.2,37.9,34.6,17.1,17,-0.100000000000001,24.3,2,1,-50,0.122129946262824,0.058217383710776,-52.3316062176166,3
05135,AR,Sharp,11.5,12,28.1,30.3,34.6,9.9,13.6,3.7,24.3,2,1,-50,0.112752283233735,0.0586372698487158,-47.9946053711739,4
05137,AR,Stone,11.9,13.5,31.6,34.2,34.6,11.2,11.9,0.700000000000001,24.3,1,0,-100,0.0839560070523046,0,-100,4
05139,AR,Union,11.6,11.9,30.8,30.9,34.6,12.7,12.1,-0.6,24.3,3,2,-33.3333333333333,0.0698763189155195,0.0489392419311425,-29.963050872342,3
05141,AR,Van Buren,11.7,12.8,30.6,33.2,34.6,15.3,13.9,-1.4,24.3,1,1,0,0.0607496506895085,0.0587199060481503,-3.34116265413977,5
05143,AR,Washington,8.6,8.1,29.8,28.6,34.6,17.5,16.2,-1.3,24.3,20,22,10,0.102724247031269,0.104062702508384,1.3029596378618,4
05145,AR,White,10.1,10.7,31.2,33.4,34.6,13.7,15.5,1.8,24.3,5,10,100,0.0678729960497916,0.127399895532086,87.7033620832431,3
05147,AR,Woodruff,12.6,13.3,33.9,35.6,34.6,7.5,8.2,0.699999999999999,24.3,0,1,,0,0.140845070422535,,3
05149,AR,Yell,13.3,12.9,35.9,32.5,34.6,16,19.3,3.3,24.3,0,0,0,0,0,0,4
06001,CA,Alameda,7.2,7.8,20.3,20.7,24.1,16.6,16.6,0,,152,131,-13.8157894736842,0.104898483112724,0.0842595451270968,-19.6751538946935,6
06003,CA,Alpine,9.4,9.6,25.4,24,24.1,18.8,18.3,-0.5,,0,0,0,0,0,0,7
